tr_id,tau,xi,y_sys,y_phase
0,1.410000,1.147204,-0.826996,0.827022
0,1.420000,1.138877,-0.838426,0.838452
0,1.430000,1.130436,-0.849773,0.849798
0,1.440000,1.121882,-0.861035,0.861060
0,1.450000,1.113216,-0.872210,0.872235
0,1.460000,1.104438,-0.883299,0.883323
0,1.470000,1.095550,-0.894299,0.894323
0,1.480000,1.086552,-0.905209,0.905233
0,1.490000,1.077446,-0.916029,0.916053
0,1.500000,1.068232,-0.926758,0.926781
0,1.510000,1.058911,-0.937394,0.937416
0,1.520000,1.049485,-0.947936,0.947958
0,1.530000,1.039953,-0.958383,0.958405
0,1.540000,1.030317,-0.968734,0.968756
0,1.550000,1.020579,-0.978989,0.979011
0,1.560000,1.010738,-0.989146,0.989167
0,1.570000,1.000796,-0.999203,0.999225
0,1.580000,0.990754,-1.009161,1.009182
0,1.590000,0.980613,-1.019018,1.019039
0,1.600000,0.970374,-1.028773,1.028794
0,1.610000,0.960038,-1.038425,1.038446
0,1.620000,0.949606,-1.047974,1.047994
0,1.630000,0.939079,-1.057417,1.057437
0,1.640000,0.928458,-1.066755,1.066775
0,1.650000,0.917744,-1.075986,1.076006
0,1.660000,0.906939,-1.085109,1.085129
0,1.670000,0.896042,-1.094124,1.094144
0,1.680000,0.885056,-1.103030,1.103049
0,1.690000,0.873982,-1.111825,1.111844
0,1.700000,0.862820,-1.120509,1.120528
0,1.710000,0.851572,-1.129081,1.129100
0,1.720000,0.840239,-1.137540,1.137559
0,1.730000,0.828822,-1.145886,1.145905
0,1.740000,0.817322,-1.154117,1.154135
0,1.750000,0.805740,-1.162232,1.162250
0,1.760000,0.794077,-1.170231,1.170249
0,1.770000,0.782336,-1.178113,1.178131
0,1.780000,0.770516,-1.185878,1.185896
0,1.790000,0.758619,-1.193523,1.193541
0,1.800000,0.746646,-1.201050,1.201068
0,1.810000,0.734598,-1.208456,1.208474
0,1.820000,0.722477,-1.215741,1.215759
0,1.830000,0.710283,-1.222905,1.222923
0,1.840000,0.698019,-1.229947,1.229964
0,1.850000,0.685685,-1.236865,1.236883
0,1.860000,0.673282,-1.243660,1.243678
0,1.870000,0.660812,-1.250331,1.250348
0,1.880000,0.648276,-1.256876,1.256893
0,1.890000,0.635675,-1.263296,1.263313
0,1.900000,0.623011,-1.269590,1.269607
0,1.910000,0.610284,-1.275756,1.275773
0,1.920000,0.597496,-1.281795,1.281812
0,1.930000,0.584648,-1.287706,1.287723
0,1.940000,0.571742,-1.293488,1.293504
0,1.950000,0.558779,-1.299141,1.299157
0,1.960000,0.545760,-1.304663,1.304680
0,1.970000,0.532686,-1.310056,1.310072
0,1.980000,0.519559,-1.315317,1.315333
0,1.990000,0.506380,-1.320447,1.320463
0,2.000000,0.493151,-1.325444,1.325460
0,2.010000,0.479872,-1.330309,1.330326
0,2.020000,0.466545,-1.335042,1.335058
0,2.030000,0.453171,-1.339640,1.339656
0,2.040000,0.439752,-1.344105,1.344121
0,2.050000,0.426290,-1.348435,1.348451
0,2.060000,0.412784,-1.352630,1.352646
0,2.070000,0.399238,-1.356691,1.356706
0,2.080000,0.385651,-1.360615,1.360631
0,2.090000,0.372026,-1.364403,1.364419
0,2.100000,0.358363,-1.368055,1.368071
0,2.110000,0.344665,-1.371571,1.371586
0,2.120000,0.330932,-1.374949,1.374964
0,2.130000,0.317167,-1.378189,1.378205
0,2.140000,0.303369,-1.381292,1.381307
0,2.150000,0.289541,-1.384256,1.384272
0,2.160000,0.275684,-1.387083,1.387098
0,2.170000,0.261800,-1.389770,1.389785
0,2.180000,0.247889,-1.392319,1.392334
0,2.190000,0.233954,-1.394728,1.394743
0,2.200000,0.219995,-1.396998,1.397013
0,2.210000,0.206015,-1.399128,1.399143
0,2.220000,0.192013,-1.401118,1.401133
0,2.230000,0.177993,-1.402968,1.402983
0,2.240000,0.163954,-1.404678,1.404693
0,2.250000,0.149900,-1.406247,1.406262
0,2.260000,0.135830,-1.407675,1.407691
0,2.270000,0.121747,-1.408963,1.408979
0,2.280000,0.107651,-1.410110,1.410126
0,2.290000,0.093545,-1.411116,1.411132
0,2.300000,0.079429,-1.411981,1.411996
0,2.310000,0.065306,-1.412705,1.412720
0,2.320000,0.051176,-1.413287,1.413302
0,2.330000,0.037040,-1.413728,1.413744
0,2.340000,0.022901,-1.414028,1.414043
0,2.350000,0.008760,-1.414186,1.414202
0,2.360000,-0.005382,-1.414203,1.414218
0,2.370000,-0.019523,-1.414079,1.414094
0,2.380000,-0.033663,-1.413813,1.413828
0,2.390000,-0.047799,-1.413406,1.413421
0,2.400000,-0.061931,-1.412857,1.412872
0,2.410000,-0.076056,-1.412167,1.412182
0,2.420000,-0.090173,-1.411336,1.411351
0,2.430000,-0.104282,-1.410364,1.410379
0,2.440000,-0.118380,-1.409250,1.409265
0,2.450000,-0.132467,-1.407996,1.408011
0,2.460000,-0.146540,-1.406601,1.406616
0,2.470000,-0.160598,-1.405065,1.405080
0,2.480000,-0.174640,-1.403389,1.403404
0,2.490000,-0.188665,-1.401572,1.401588
0,2.500000,-0.202671,-1.399616,1.399631
0,2.510000,-0.216657,-1.397519,1.397534
0,2.520000,-0.230621,-1.395283,1.395298
0,2.530000,-0.244562,-1.392907,1.392922
0,2.540000,-0.258479,-1.390392,1.390407
0,2.550000,-0.272370,-1.387737,1.387753
0,2.560000,-0.286233,-1.384944,1.384960
0,2.570000,-0.300068,-1.382013,1.382028
0,2.580000,-0.313873,-1.378943,1.378958
0,2.590000,-0.327647,-1.375735,1.375751
0,2.600000,-0.341387,-1.372390,1.372406
0,2.610000,-0.355094,-1.368908,1.368923
0,2.620000,-0.368765,-1.365288,1.365304
0,2.630000,-0.382399,-1.361533,1.361548
0,2.640000,-0.395995,-1.357641,1.357656
0,2.650000,-0.409552,-1.353613,1.353629
0,2.660000,-0.423067,-1.349450,1.349465
0,2.670000,-0.436540,-1.345152,1.345167
0,2.680000,-0.449970,-1.340719,1.340735
0,2.690000,-0.463354,-1.336152,1.336168
0,2.700000,-0.476692,-1.331452,1.331468
0,2.710000,-0.489983,-1.326619,1.326635
0,2.720000,-0.503224,-1.321653,1.321669
0,2.730000,-0.516415,-1.316554,1.316571
0,2.740000,-0.529555,-1.311324,1.311341
0,2.750000,-0.542641,-1.305963,1.305980
0,2.760000,-0.555674,-1.300472,1.300488
0,2.770000,-0.568650,-1.294850,1.294867
0,2.780000,-0.581570,-1.289099,1.289116
0,2.790000,-0.594432,-1.283219,1.283236
0,2.800000,-0.607234,-1.277210,1.277227
0,2.810000,-0.619976,-1.271074,1.271091
0,2.820000,-0.632655,-1.264811,1.264828
0,2.830000,-0.645272,-1.258421,1.258439
0,2.840000,-0.657823,-1.251906,1.251923
0,2.850000,-0.670309,-1.245265,1.245282
0,2.860000,-0.682728,-1.238500,1.238517
0,2.870000,-0.695079,-1.231611,1.231628
0,2.880000,-0.707360,-1.224599,1.224616
0,2.890000,-0.719570,-1.217464,1.217482
0,2.900000,-0.731709,-1.210207,1.210225
0,2.910000,-0.743774,-1.202830,1.202848
0,2.920000,-0.755765,-1.195332,1.195350
0,2.930000,-0.767680,-1.187715,1.187733
0,2.940000,-0.779519,-1.179979,1.179997
0,2.950000,-0.791280,-1.172125,1.172143
0,2.960000,-0.802961,-1.164154,1.164172
0,2.970000,-0.814562,-1.156066,1.156084
0,2.980000,-0.826082,-1.147863,1.147881
0,2.990000,-0.837519,-1.139545,1.139563
0,3.000000,-0.848872,-1.131113,1.131131
0,3.010000,-0.860141,-1.122567,1.122586
0,3.020000,-0.871323,-1.113910,1.113929
0,3.030000,-0.882419,-1.105141,1.105161
0,3.040000,-0.893426,-1.096262,1.096281
0,3.050000,-0.904344,-1.087273,1.087293
0,3.060000,-0.915171,-1.078175,1.078195
0,3.070000,-0.925907,-1.068970,1.068990
0,3.080000,-0.936550,-1.059657,1.059678
0,3.090000,-0.947100,-1.050239,1.050260
0,3.100000,-0.957554,-1.040716,1.040736
0,3.110000,-0.967914,-1.031088,1.031109
0,3.120000,-0.978176,-1.021358,1.021379
0,3.130000,-0.988340,-1.011525,1.011546
0,3.140000,-0.998406,-1.001591,1.001613
0,3.150000,-1.008372,-0.991557,0.991579
0,3.160000,-1.018237,-0.981424,0.981446
0,3.170000,-1.028000,-0.971193,0.971215
0,3.180000,-1.037660,-0.960865,0.960887
0,3.190000,-1.047217,-0.950440,0.950463
0,3.200000,-1.056669,-0.939921,0.939943
0,3.210000,-1.066015,-0.929307,0.929330
0,3.220000,-1.075255,-0.918601,0.918624
0,3.230000,-1.084387,-0.907802,0.907826
0,3.240000,-1.093410,-0.896913,0.896937
0,3.250000,-1.102325,-0.885935,0.885959
0,3.260000,-1.111129,-0.874867,0.874892
0,3.270000,-1.119822,-0.863712,0.863737
0,3.280000,-1.128403,-0.852471,0.852496
0,3.290000,-1.136871,-0.841145,0.841170
0,3.300000,-1.145225,-0.829734,0.829760
0,3.310000,-1.153465,-0.818241,0.818267
0,3.320000,-1.161590,-0.806665,0.806692
0,3.330000,-1.169598,-0.795009,0.795036
0,3.340000,-1.177490,-0.783274,0.783301
0,3.350000,-1.185264,-0.771460,0.771487
0,3.360000,-1.192919,-0.759569,0.759597
0,3.370000,-1.200455,-0.747602,0.747630
0,3.380000,-1.207871,-0.735560,0.735589
0,3.390000,-1.215166,-0.723445,0.723474
0,3.400000,-1.222339,-0.711257,0.711287
0,3.410000,-1.229391,-0.698998,0.699029
0,3.420000,-1.236319,-0.686670,0.686701
0,3.430000,-1.243124,-0.674272,0.674304
0,3.440000,-1.249804,-0.661808,0.661840
0,3.450000,-1.256360,-0.649277,0.649310
0,3.460000,-1.262790,-0.636681,0.636714
0,3.470000,-1.269093,-0.624021,0.624056
0,3.480000,-1.275270,-0.611299,0.611334
0,3.490000,-1.281319,-0.598516,0.598552
0,3.500000,-1.287240,-0.585673,0.585710
0,3.510000,-1.293032,-0.572772,0.572809
0,3.520000,-1.298695,-0.559813,0.559852
0,3.530000,-1.304228,-0.546799,0.546838
0,3.540000,-1.309631,-0.533729,0.533769
0,3.550000,-1.314903,-0.520606,0.520647
0,3.560000,-1.320043,-0.507432,0.507474
0,3.570000,-1.325051,-0.494206,0.494249
0,3.580000,-1.329927,-0.480931,0.480975
0,3.590000,-1.334670,-0.467608,0.467654
0,3.600000,-1.339279,-0.454238,0.454285
0,3.610000,-1.343754,-0.440823,0.440871
0,3.620000,-1.348095,-0.427363,0.427413
0,3.630000,-1.352301,-0.413861,0.413913
0,3.640000,-1.356372,-0.400318,0.400371
0,3.650000,-1.360308,-0.386734,0.386790
0,3.660000,-1.364107,-0.373112,0.373169
0,3.670000,-1.367770,-0.359453,0.359512
0,3.680000,-1.371296,-0.345757,0.345819
0,3.690000,-1.374685,-0.332027,0.332092
0,3.700000,-1.377936,-0.318264,0.318331
0,3.710000,-1.381050,-0.304469,0.304539
0,3.720000,-1.384025,-0.290643,0.290717
0,3.730000,-1.386863,-0.276789,0.276866
0,3.740000,-1.389561,-0.262907,0.262988
0,3.750000,-1.392121,-0.248998,0.249084
0,3.760000,-1.394541,-0.235065,0.235156
0,3.770000,-1.396822,-0.221108,0.221205
0,3.780000,-1.398963,-0.207129,0.207232
0,3.790000,-1.400964,-0.193129,0.193240
0,3.800000,-1.402826,-0.179110,0.179229
0,3.810000,-1.404547,-0.165073,0.165202
0,3.820000,-1.406127,-0.151019,0.151161
